iter	Logloss
0	0.6695393561
1	0.6478773838
2	0.6288175795
3	0.6115502499
4	0.5966759701
5	0.5833171736
6	0.5707253217
7	0.5600589887
8	0.5503522639
9	0.541221534
10	0.5327959627
11	0.5262070154
12	0.519974037
13	0.5137828849
14	0.5093209872
15	0.5046737229
16	0.5008220823
17	0.4970859534
18	0.493674479
19	0.4902291913
20	0.4878085398
21	0.4850129614
22	0.4827249553
23	0.4806015019
24	0.4785616104
25	0.4769107366
26	0.4756104318
27	0.4745623935
28	0.4733798465
29	0.4723640136
30	0.4713719776
31	0.4703418876
32	0.4695163695
33	0.4687035201
34	0.4681218331
35	0.4673371753
36	0.46676302
37	0.4661616848
38	0.4655357311
39	0.4649754549
40	0.4645697016
41	0.4641829601
42	0.4636723431
43	0.4633994354
44	0.4630108641
45	0.4625815515
46	0.4621826152
47	0.4618492327
48	0.4616478379
49	0.4613043119
50	0.4610092812
51	0.4608467474
52	0.460667586
53	0.4604075909
54	0.4601092823
55	0.4599547735
56	0.4598302593
57	0.459654224
58	0.4595043195
59	0.4593821034
60	0.4592726928
61	0.4591674566
62	0.4590447801
63	0.45896588
64	0.4588652886
65	0.4587842982
66	0.4587159657
67	0.4586172703
68	0.458531021
69	0.4584303358
70	0.4582940939
71	0.4582200314
72	0.4580864411
73	0.4579776058
74	0.4578997931
75	0.4578087839
76	0.4577284588
77	0.4576304396
78	0.4575453911
79	0.4574861217
80	0.4574010634
81	0.457331439
82	0.4572839153
83	0.4572324217
84	0.457171298
85	0.4571067465
86	0.4570261509
87	0.4569714177
88	0.4569211123
89	0.4568830703
90	0.4568088211
91	0.4567747511
92	0.456734207
93	0.4566913162
94	0.456636325
95	0.4565929543
96	0.4565479127
97	0.4564930366
98	0.456437555
99	0.4563850403
100	0.4563399907
101	0.4562894585
102	0.456256782
103	0.4562220431
104	0.4561788285
105	0.456135892
106	0.4561208699
107	0.4560919547
108	0.4560572709
109	0.4560134036
110	0.4559754505
111	0.455945323
112	0.4559266156
113	0.4558775514
114	0.4558140951
115	0.4557413147
116	0.4557120092
117	0.4556646312
118	0.4556220982
119	0.4555868307
120	0.4555470112
121	0.4555250179
122	0.4554982853
123	0.4554466816
124	0.4553889923
125	0.4553401788
126	0.4552922691
127	0.4552417778
128	0.4551942089
129	0.4551596187
130	0.4551189987
131	0.4551033185
132	0.4550619747
133	0.4550130116
134	0.4549840268
135	0.454939644
136	0.4549161366
137	0.4548742412
138	0.4548011056
139	0.454741834
140	0.454705872
141	0.4546854315
142	0.4546013638
143	0.4545610331
144	0.4545319171
145	0.4544877373
146	0.4544397672
147	0.4543980427
148	0.4543491699
149	0.4543122441
150	0.4542844867
151	0.4542272702
152	0.4541800177
153	0.4541412653
154	0.4541034166
155	0.4540624802
156	0.4540263609
157	0.4539611817
158	0.4539175999
159	0.4538877259
160	0.4538625389
161	0.4538235474
162	0.453774347
163	0.453754274
164	0.4537223128
165	0.4536939358
166	0.4536600902
167	0.4536443166
168	0.4535821857
169	0.4535653206
170	0.4535065035
171	0.453467073
172	0.4534381106
173	0.4534133804
174	0.4533782976
175	0.4533170692
176	0.4532513181
177	0.4532125299
178	0.4531712291
179	0.4531460379
180	0.4531025806
181	0.4530911229
182	0.4530372275
183	0.4530138768
184	0.4529771021
185	0.4529265041
186	0.4528919659
187	0.4528704244
188	0.4528177928
189	0.4527561061
190	0.4527137187
191	0.4526640762
192	0.4525673658
193	0.4525064423
194	0.4524803746
195	0.4524445486
196	0.4524166029
197	0.4523811534
198	0.4523462532
199	0.4523142227
200	0.4522797587
201	0.4522513538
202	0.4522018861
203	0.4521435515
204	0.4521073771
205	0.4520822026
206	0.4520460588
207	0.4519961199
208	0.4519389472
209	0.4518980994
210	0.4518579671
211	0.4518162424
212	0.4517824513
213	0.4517041958
214	0.4516634946
215	0.4516059874
216	0.4515642564
217	0.4515493995
218	0.4514998379
219	0.4514470149
220	0.4513971087
221	0.4513524007
222	0.451302331
223	0.4512802621
224	0.451252179
225	0.4512211171
226	0.4511629374
227	0.4511344179
228	0.451105693
229	0.4510671056
230	0.4510167627
231	0.4509701353
232	0.4509398715
233	0.4508968027
234	0.4508273648
235	0.4507766273
236	0.450756401
237	0.4507160653
238	0.4506730104
239	0.4506274563
240	0.4505816401
241	0.4505244206
242	0.4504435954
243	0.4503706268
244	0.4503253803
245	0.4502826191
246	0.4502460598
247	0.4502202214
248	0.4501484936
249	0.4501190872
250	0.4500659435
251	0.4500280096
252	0.4499783496
253	0.449952984
254	0.4498928842
255	0.4498367002
256	0.4497724201
257	0.4497193937
258	0.4496819998
259	0.4496327791
260	0.4495837698
261	0.4495425992
262	0.4495106568
263	0.4494624529
264	0.4494322834
265	0.4494127125
266	0.4493484947
267	0.4493079399
268	0.4492425343
269	0.4492139638
270	0.4491726028
271	0.4491435717
272	0.4490948609
273	0.4490725947
274	0.4490585872
275	0.4489911929
276	0.44895295
277	0.4489286943
278	0.4488723826
279	0.4488066491
280	0.4487523258
281	0.4487150389
282	0.4486644398
283	0.4486095475
284	0.4485587233
285	0.4485149754
286	0.4484792148
287	0.4484200535
288	0.4483793768
289	0.4483137805
290	0.4482591094
291	0.4482348013
292	0.4482109506
293	0.4481408799
294	0.4480930013
295	0.4480436978
296	0.4479808288
297	0.4479429711
298	0.447905974
299	0.4478567925
300	0.4478184951
301	0.4477754679
302	0.4477192795
303	0.447674863
304	0.4476214432
305	0.4475766778
306	0.4475208182
307	0.4474829816
308	0.4474424184
309	0.4474052921
310	0.4473436728
311	0.4472934254
312	0.4472535859
313	0.4471922427
314	0.4471373953
315	0.4471019377
316	0.4470390108
317	0.4469885669
318	0.4469474295
319	0.4469029127
320	0.4468475106
321	0.446781264
322	0.4467096963
323	0.4466669642
324	0.4466118208
325	0.446566263
326	0.446527042
327	0.4464851547
328	0.4464449815
329	0.4464053221
330	0.446383921
331	0.4463445121
332	0.446291535
333	0.4462229829
334	0.44619001
335	0.4461383339
336	0.4460874848
337	0.4460072156
338	0.4459543873
339	0.4459323322
340	0.4458884109
341	0.4458452102
342	0.4458061446
343	0.4457608554
344	0.4457011626
345	0.4456654991
346	0.4456194345
347	0.4455556405
348	0.4455060051
349	0.4454651495
350	0.4454404628
351	0.4453861647
352	0.4453023367
353	0.4452665341
354	0.4452172302
355	0.4451807064
356	0.445129801
357	0.4450939613
358	0.445046307
359	0.4449979236
360	0.4449611484
361	0.4449228881
362	0.4448942721
363	0.4448404256
364	0.4447934159
365	0.4447673208
366	0.4447167414
367	0.444690961
368	0.4446546955
369	0.4446112834
370	0.4445927329
371	0.4445603405
372	0.4445225228
373	0.4444811441
374	0.444437378
375	0.4443970641
376	0.4443280941
377	0.4442855105
378	0.4442109593
379	0.4441762058
380	0.4441127202
381	0.4440646098
382	0.4440137488
383	0.4439999893
384	0.4439579255
385	0.4439114522
386	0.4438692129
387	0.4438325144
388	0.4438083556
389	0.4437380999
390	0.443696245
391	0.4436636306
392	0.4435977232
393	0.4435665198
394	0.4435000411
395	0.4434532622
396	0.4434070345
397	0.443369632
398	0.4433358367
399	0.4432970752
400	0.4432536924
401	0.4431934137
402	0.4431362111
403	0.4430941576
404	0.4430421334
405	0.4429981441
406	0.4429650744
407	0.4429076437
408	0.4428713322
409	0.4428144826
410	0.442768999
411	0.4427373057
412	0.4426701795
413	0.4426167573
414	0.4425708013
415	0.4425053091
416	0.4424746336
417	0.4424142968
418	0.4423877436
419	0.4423447487
420	0.4423188839
421	0.4422885542
422	0.4422417107
423	0.4421932811
424	0.4421508534
425	0.4420992613
426	0.4420893195
427	0.4420421595
428	0.4419720299
429	0.4419211156
430	0.4418826477
431	0.4418419489
432	0.4418201482
433	0.4417671789
434	0.4417394284
435	0.4417193826
436	0.4416552698
437	0.4416301628
438	0.4416053554
439	0.4415663277
440	0.4415286849
441	0.4414777379
442	0.4414485216
443	0.4413815457
444	0.4413422325
445	0.4413120455
446	0.4412940155
447	0.4412798025
448	0.4412329018
449	0.4411837795
450	0.4411380091
451	0.441099483
452	0.4410746883
453	0.4410182624
454	0.4409726886
455	0.4409209994
456	0.440872333
457	0.4408147505
458	0.4407892049
459	0.4407339665
460	0.4406659548
461	0.4406007489
462	0.440565242
463	0.4405509111
464	0.4405160958
465	0.4404864948
466	0.440456473
467	0.4403547698
468	0.4403123271
469	0.4402713958
470	0.4402013573
471	0.4401558761
472	0.4401297632
473	0.4400859921
474	0.4400342343
475	0.4399944145
476	0.439971859
477	0.4398817003
478	0.4398505467
479	0.4398146088
480	0.4397822532
481	0.4397393636
482	0.4396982679
483	0.4396769807
484	0.4396257363
485	0.4396042604
486	0.4395562138
487	0.4395197877
488	0.439482572
489	0.4394318046
490	0.4393913471
491	0.4393431005
492	0.4392650099
493	0.4392247869
494	0.4391649218
495	0.4391321037
496	0.4390992655
497	0.4390692166
498	0.4390455539
499	0.438987421
